hrv_mean_nni,hrv_median_nni,hrv_range_nni,hrv_sdsd,hrv_rmssd,hrv_pnni_50,hrv_pnni_20,hrv_cvsd,hrv_sdnn,hrv_cvnni,hrv_std_hr,hrv_total_power,hrv_lf,hrv_peaks,hrv_hf,hrv_mean,hrv_std,hrv_max,hrv_ptp,hrv_rms,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_svd_entropy,acc_x_mean,acc_x_min,acc_x_sum,acc_x_skewness,acc_x_n_sign_changes,acc_x_pct_5,acc_x_pct_95,acc_x_svd_entropy,acc_y_mean,acc_y_min,acc_y_max,acc_y_sum,acc_y_pct_5,acc_y_pct_95,acc_z_n_sign_changes,l2_pct_5,Stress
656.756483,640.625,1015.625,73.79418025,73.79433718,25.76985413,60.61588331,0.112361795,98.68342044,0.150258769,14.2495537,6260.38123,1679.441396,165,1184.417928,656.756483,98.60341766,1359.375,1015.625,664.1172426,109.375,328.125,531.25,859.375,0.346077889,826477.1526,-101,1586836133,43.78356451,32,-61,6,1,826471.6969,-91,1586886712,1586825658,-71,31,99,53.39428805,0
656.7288306,640.625,1015.625,73.32525193,73.32540834,25.48387097,60.48387097,0.111652489,98.47016485,0.149940372,14.21883712,6243.227634,1636.048615,166,1217.686096,656.7288306,98.39072138,1359.375,1015.625,664.0583491,109.375,328.125,531.25,859.375,0.346112733,826477.5714,-101,1586836937,43.78356451,32,-60.05,6,1,826470.5531,-91,1586886712,1586823462,-72,31,100,53.23203729,0
656.8509615,648.4375,1015.625,73.50649757,73.5066516,25.48076923,60.25641026,0.111907656,98.31043809,0.149669322,14.19507655,6225.062701,1640.530823,166,1222.167039,656.8509615,98.23163212,1359.375,1015.625,664.1555836,109.375,325.78125,531.25,857.03125,0.347201402,826477.6651,-101,1586837117,43.78356451,32,-60,6,1,826470.6318,-91,1586886712,1586823613,-72,31,99,53.12202929,0
657.3447452,656.25,1015.625,73.31946495,73.31961741,25.31847134,60.03184713,0.111539064,98.31734901,0.149567407,14.18817082,6214.376592,1649.412779,166,1203.876536,657.3447452,98.23903968,1359.375,1015.625,664.6450353,109.375,322.65625,531.25,853.90625,0.347322383,826477.6432,-101,1586837075,43.78356451,32,-60,6,1,826470.7849,-91,1586886712,1586823907,-72,32,98,53.1130869,0
657.4900794,656.25,1015.625,72.97445381,72.97460602,25.3968254,60.15873016,0.110989669,98.19870059,0.149353889,14.17303613,6202.040383,1667.147042,167,1182.226802,657.4900794,98.12073416,1359.375,1015.625,664.7713012,109.375,321.09375,531.25,852.34375,0.346773135,826477.4479,-101,1586836700,43.78356451,32,-60,6,1,826470.9448,-91,1586886712,1586824214,-72,33,98,53.1130869,0
657.4842022,656.25,1015.625,72.70016154,72.70031288,25.43443918,60.34755134,0.110573475,97.98116548,0.149024365,14.14202241,6166.956074,1691.466581,166,1136.35452,657.4842022,97.9037406,1359.375,1015.625,664.7334944,109.375,318.75,531.25,850,0.345266399,826477.976,-101,1586837714,43.78356451,32,-60,6,1,826471.3833,-91,1586886712,1586825056,-72,38,99,52.69724851,0
656.9368132,656.25,1015.625,72.45529275,72.45544269,25.27472527,59.96860283,0.110292864,98.04270866,0.14924222,14.16709067,6189.395061,1588.774947,166,1207.120901,656.9368132,97.96572183,1359.375,1015.625,664.2012189,109.375,315.625,531.25,846.875,0.346285671,826478.9969,-101,1586839674,43.78356451,35,-60,8,1,826471.7693,-91,1586886712,1586825797,-72,46,99,52.69724851,0
655.7632399,640.625,1015.625,77.37782291,77.37796113,25.23364486,59.81308411,0.117996796,98.36025385,0.149993546,14.33435707,6067.061188,1493.282779,167,1177.124581,655.7632399,98.28361944,1359.375,1015.625,663.0875482,109.375,312.5,531.25,843.75,0.348670711,826480.4427,-101,1586842450,43.78356451,35,-60,12,1,826472.0052,-91,1586886712,1586826250,-72,47,98,52.57993714,0
654.3392028,640.625,1015.625,77.05896764,77.05910472,25.07739938,59.13312693,0.117766297,98.68192286,0.150811571,14.53868348,6048.187232,1436.981216,167,1172.087546,654.3392028,98.60551408,1359.375,1015.625,661.7271641,109.375,312.5,531.25,843.75,0.353159892,826481.6823,-88,1586844830,43.78356451,37,-59.05,14,1,826471.9224,-91,1586886712,1586826091,-72,47,98,52.57993714,0
654.0557485,640.625,1015.625,76.718759,76.71889583,25.77160494,59.72222222,0.117297181,98.61518786,0.150774897,14.54454042,6085.656553,1520.677984,168,1115.055098,654.0557485,98.53906652,1359.375,1015.625,661.4369734,109.375,312.5,531.25,843.75,0.352763396,826482.8047,-81,1586846985,43.78356451,46,-59,15,1,826471.8729,-91,1586886712,1586825996,-72,47,98,52.47523024,0
654.1006569,640.625,1015.625,76.96984686,76.96998367,25.6568779,59.81452859,0.117672996,98.64271951,0.150806636,14.55840087,6104.977144,1647.621011,168,1001.644476,654.1006569,98.56645919,1359.375,1015.625,661.4854618,109.375,312.5,531.25,843.75,0.353275812,826484.1625,-81,1586849592,43.78356451,48,-59,18,1,826472.0453,-91,1586886712,1586826327,-72,47,96,52.51475917,0
654.2151163,640.625,1015.625,77.32005767,77.32019471,25.73643411,59.84496124,0.118187723,98.70421876,0.150874256,14.57633262,6105.889737,1739.26811,170,925.2625615,654.2151163,98.62767418,1359.375,1015.625,661.6077663,109.375,312.5,531.25,843.75,0.352643576,826485.3365,-81,1586851846,43.78356451,54,-58,19.05,1,826472.2604,-91,1586886712,1586826740,-72,47,88,52.51475917,0
654.3029595,648.4375,1015.625,77.67750112,77.67763881,26.01246106,60.28037383,0.118718153,98.77497595,0.150962141,14.59941027,6088.150904,1723.170286,169,961.6283118,654.3029595,98.69801842,1359.375,1015.625,661.7051168,109.375,327.34375,531.25,858.59375,0.355360089,826485.7859,-81,1586852709,43.78356451,55,-56.05,19.05,1,826472.263,-91,1586886712,1586826745,-72,47,88,52.41135369,0
654.342723,656.25,1015.625,77.34213849,77.34227808,26.13458529,60.7198748,0.118198423,99.08506832,0.151426867,14.65124834,6230.067554,1673.664884,169,1116.823593,654.342723,99.00750661,1359.375,1015.625,661.7906659,109.375,328.125,531.25,859.375,0.357629837,826486.1255,-81,1586853361,43.78356451,55,-56,19.05,1,826470.826,-91,1586886712,1586823986,-72,47,85,52.47523024,0
654.7339593,656.25,1015.625,77.16381578,77.16395569,25.82159624,60.56338028,0.117855435,99.02230168,0.151240516,14.64794928,6219.455237,1662.716317,167,1105.272175,654.7339593,98.9447891,1359.375,1015.625,662.1681273,109.375,328.125,531.25,859.375,0.357961323,826486.3313,-81,1586853756,43.78356451,55,-56,19.05,1,826469.3922,-91,1586886712,1586821233,-72,47,85,52.47523024,0
